"","X","NÚMERO","ESTACIÓN","DIRECCIÓN","LONGITUD","LATITUD","ALTITUD","TIPO.ESTACION..","NO2","SO2","CO","PM10","PM2.5","O3","BTX","HC","UV","VV","DV","TMP","HR","PRB","RS","LL","LAT.DD","LONG.DD"
"1",1,4,"Pza. de España","Plaza de España","3º 42' 44,09''O","40º 25' 25,87''N",635,"UT","X","X","X",NA,NA,NA,NA,NA,NA,"X","X","X","X",NA,NA,"X",40.4238527777778,-3.71224722222222
"2",2,8,"Escuelas Aguirre","Entre C/ Alcalá y C/ O’ Donell ","3º 40' 56,35''O","40º 25' 17,63''N",670,"UT","X","X","X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,40.4215638888889,-3.68231944444444
"3",3,11,"Avda. Ramón y Cajal","Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara","3º 40' 38,48''O","40º 27' 05,31''N",708,"UT","X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"X",40.451475,-3.67735555555556
"4",4,16,"Arturo Soria","C/ Arturo Soria  esq. C/  Vizconde de los Asilos ","3º 38' 21,24''O","40º 26' 24,17''N",693,"UF","X",NA,"X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",40.4400472222222,-3.63923333333333
"5",5,17,"Villaverde","C/. Juan Peñalver","3º 42' 47,96''O","40º 20' 49,70''N",604,"UF","X","X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3471388888889,-3.71332222222222
"6",6,18,"Farolillo","Calle Farolillo - C/Ervigio","3º 43' 54,67''O","40º 23' 41,21''N",630,"UF","X","X","X","X",NA,"X","X",NA,NA,NA,NA,"X",NA,NA,NA,"X",40.3947805555556,-3.73185277777778
"7",7,24,"Casa de Campo","Casa de Campo  (Terminal del Teleférico)","3º 44' 50,45''O","40º 25' 09,68''N",642,"S","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",40.4193555555556,-3.74734722222222
"8",8,27,"Barajas Pueblo","C/. Júpiter, 21 (Barajas) ","3º 34' 48,11''O","40º 28' 36,94''N",621,"UF","X",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4769277777778,-3.58003055555556
"9",9,35,"Pza. del Carmen","Plaza del Carmen esq. Tres Cruces. ","3º 42' 11,42""O","40º 25' 9,15''N",659,"UF","X","X","X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4192083333333,-3.70317222222222
"10",10,36,"Moratalaz","Avd. Moratalaz  esq. Camino de los Vinateros","3º 38' 43,10''O","40º 24' 28,61''N",685,"UT","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",40.4079472222222,-3.64530555555556
