ESTACION;COD_ESTACIÓN;NOMBRE;ZONA;DIRECCIÓN;LONGITUD;LATITUD;ALTURA;TIPO_ZONA
Estacion1;28065014;Getafe;03.Urbana sur;C.E.I:P. Mariana Pineda ubicado en Avda;-3,716868;40,314518;667;Tráfico
Estacion2;28074007;Leganés;03.Urbana sur;C/ Roncal;-3,754508;40,339762;676;Tráfico
Estacion3;28005002;Alcalá de Henares;02.Corredor del Henares;Avda del Ejército;-3,377949;40,479328;595;Tráfico
Estacion4;28006004;Alcobendas;02.Corredor del Henares;C/ Pintor Murillo, Parque de Andalucía;-3,646455;40,539523;688;Tráfico
Estacion5;28058004;Fuenlabrada;03.Urbana sur;C/ Grecia, Nº 3 (trasera);-3,800946;40,281505;699;Industrial
Estacion6;28092005;Móstoles;03.Urbana sur;Parque Liana;-3,876772;40,324225;660;Fondo urbano
Estacion7;28148004;Torrejón de Ardoz;02.Corredor del Henares;Parque del Ocio;-3,477645;40,449541;597;Fondo urbano
Estacion8;28007004;Alcorcón;03.Urbana sur;Avda del Oeste, Colegio Blas de Otero;-3,835735;40,341909;693;Fondo urbano
Estacion9;28049003;Coslada;02.Corredor del Henares;Avda. José Gárate (Polideportivo Mun);-3,542804;40,430987;621;Tráfico
Estacion10;28045002;Colmenar Viejo;04.Urbana noroeste;C/ Molino de Viento;-3,773865;40,664649;905;Tráfico
Estacion11;28080003;Majadahonda;04.Urbana noroeste;C/ Isaac Albéniz (campo de golf);-3,868994444;40,44610278;360;Fondo urbano
Estacion12;28013002;Aranjuez;03.Urbana sur;C/ Moreras;-3,591644444;40,03327778;501;Fondo urbano
Estacion13;28047002;Collado-Villalba;04.Urbana noroeste;C/Santa Teresa de Jesús 12 (CP. Rosa Chacel);-4,01425;40,633089;873;Tráfico
Estacion14;28014002;Arganda del Rey;02.Corredor del Henares;C/Rio Tajuña;-3,458830556;40,30069444;586;Industrial
Estacion15;28180001;Villarejo de Salvanés;07.Cuenca del Tajuña;C/Luis de Requesens Nº1-3;-3,276569444;40,16722778;764;Tráfico
Estacion16;28133002;San Martín de Valdeiglesias;06.Cuenca del Alberche;c/ Depósito s/n;-4,398116667;40,36775833;549;Rural
Estacion17;28123002;Rivas Vaciamadrid;02.Corredor del Henares;"C/ Juncal (Polideportivo ""Cerro del Telégrafo"")";-3,542902778;40,35970556;608;Fondo urbano
Estacion18;28067001;Guadalix de la Sierra;05.Rural sierra norte;Camino de Chozas S/N;-3,702147222;40,78063333;853;Rural
Estacion19;28009001;Algete;02.Corredor del Henares;c/Humilladero con c/ Francisco Quevedo;-3,503286111;40,59981944;800;Fondo urbano
Estacion20;28161001;Valdemoro;03.Urbana sur;Colegio Publico Pedro Antonio de Alarcón;-3,680265;40,185241;615;Fondo urbano
Estacion21;28016001;El Atazar;05.Rural sierra norte;Instalaciones Canal Isabel II;-3,467902778;40,90901944;995;Rural de fondo
Estacion22;28171001;Villa del Prado;06.Cuenca del Alberche;"Hospital ""Virgen de la Poveda""";-4,27515;40,247937;510;Rural de fondo
Estacion23;28102001;Orusco de Tajuña;07.Cuenca del Tajuña;Repetidor de Telefonía;-3,221094444;40,28755556;800;Rural de fondo
