"","fecha","est3491","est6809","est4451","est4138","prec","presMax","presMin","racha","dir","velmedia","tmax","tmed","tmin","cont8"
"1",2015-01-01,"1868","916","0","0","0","957.8","953","3.9","21","0.8","10.4","4.7","-1","75.8333333333333"
"2",2015-01-02,"2735","1364","0","0","0","959.9","956.9","3.9","4","0.6","12","5.5","-1","88.5416666666667"
"3",2015-01-03,"2094","1099","0","0","0","959.4","957.3","3.6","4","0.3","11.4","6.3","1.2","79.7916666666667"
"4",2015-01-04,"1947","1041","0","0","0","957.9","952.8","3.3","4","0.3","14","7.7","1.4","96.6666666666667"
"5",2015-01-05,"2909","1476","0","0","0","952.8","948.8","5.3","4","1.4","12","6.8","1.5","NA"
"6",2015-01-06,"2196","1060","0","0","0","950","946.9","3.1","8","0.8","9.8","5.3","0.8","64.0416666666667"
"7",2015-01-07,"3224","1643","0","0","0","954.5","949.5","4.4","6","1.1","10.7","5.8","0.8","78.25"
"8",2015-01-08,"3168","1699","0","0","0","962.5","954.5","5.3","4","0.8","12.3","6.4","0.4","82.5416666666667"
"9",2015-01-09,"3354","1668","0","0","0","963.1","962.3","4.2","5","0.3","13.5","7.8","2","95.2083333333333"
"10",2015-01-10,"2373","1205","0","0","0","962.8","953.5","3.3","27","0.8","12.6","7.2","1.7","71.2916666666667"
"11",2015-01-11,"2014","1069","0","0","0","954.7","952","5.8","2","0.8","13.7","8","2.4","63.1666666666667"
"12",2015-01-12,"3399","1709","0","238","0","954.8","950.1","7.2","4","1.1","11.8","7.7","3.6","64.4166666666667"
"13",2015-01-13,"3422","1728","0","190","0","950.1","946","6.9","26","1.4","12.4","7.4","2.4","57.9166666666667"
"14",2015-01-14,"3463","1741","0","216","0","949.8","947.3","3.3","8","0.6","8.2","5.3","2.4","60.0416666666667"
"15",2015-01-15,"3488","1702","0","228","6.1","947.3","934.3","10.3","22","1.4","10.8","7.9","5","52.5416666666667"
"16",2015-01-16,"3554","1766","0","194","0","943","932.1","9.7","31","2.2","8","5.3","2.6","41.3333333333333"
"17",2015-01-17,"2405","1256","0","84","0","946.3","941.9","7.5","22","1.7","8.5","3.7","-1.1","49.3333333333333"
"18",2015-01-18,"1931","994","0","133","6.8","941.9","930","13.9","1","0.6","3.5","1.9","0.3","42.8333333333333"
"19",2015-01-19,"3358","1701","0","201","0","936.2","929.7","15.3","3","4.4","7.2","3.9","0.6","NA"
"20",2015-01-20,"3192","1638","0","202","0","935.4","930.8","6.1","26","0.8","6.5","3.4","0.2","61.6666666666667"
"21",2015-01-21,"3440","1725","0","224","0.4","933.8","932.1","11.1","29","1.7","5.6","3.2","0.8","52.375"
"22",2015-01-22,"3521","1736","0","219","0","942.2","932.9","11.9","32","2.5","8.4","5.1","1.8","44.1666666666667"
"23",2015-01-23,"3582","1764","0","187","0","947","942.2","8.6","2","2.8","9.8","5.1","0.4","NA"
"24",2015-01-24,"2402","1209","0","80","0","950","946.8","13.9","2","0","10.7","4.6","-1.4","62.1666666666667"
"25",2015-01-25,"2085","1073","0","131","0","949.7","947.4","10.8","34","1.7","12.6","7.2","1.8","56.875"
"26",2015-01-26,"3398","1691","6","216","0","950.2","947.6","5","5","0.8","12.9","6.7","0.5","86.8333333333333"
"27",2015-01-27,"3446","1744","0","229","0","950.7","947.8","10.6","2","1.1","13.3","7.6","2","63.4166666666667"
"28",2015-01-28,"3527","1789","10","236","0","947.8","943.3","6.4","33","0.3","12.8","7","1.3","69.2083333333333"
"29",2015-01-29,"3480","1810","0","240","Ip","943.3","931.4","12.2","25","2.8","12.2","8","3.9","45.7916666666667"
"30",2015-01-30,"3509","1759","20","203","3.7","931.4","918.8","14.2","25","4.2","15.4","12.5","9.6","20.25"
"31",2015-01-31,"2408","1250","0","83","Ip","931.2","917.2","18.9","28","5.6","10.8","7.1","3.4","21.3333333333333"
"32",2015-02-01,"2142","1093","0","127","0","937.3","931","13.9","30","3.3","8","4.9","1.8","18.125"
"33",2015-02-02,"3271","1693","0","210","2.6","936.8","925.9","10","24","2.8","5.1","4.2","3.2","35.5"
"34",2015-02-03,"3422","1698","0","216","4.3","928.2","920.9","12.8","30","2.5","9.6","5.8","2","35.375"
"35",2015-02-04,"3530","1668","0","223","0","932.2","921","12.5","35","4.4","5.1","2.8","0.4","44"
"36",2015-02-05,"3517","1735","0","241","0","937.4","932.2","17.2","1","3.6","5.6","3.1","0.6","38.0833333333333"
"37",2015-02-06,"3547","1758","0","203","0","935.8","933.2","10","25","2.2","5.7","2.6","-0.4","52.9583333333333"
"38",2015-02-07,"2373","1197","0","86","0","944.2","935.4","7.8","5","1.4","3.4","1.2","-1","52.1666666666667"
"39",2015-02-08,"2103","1100","0","154","0","945.2","942.3","8.3","2","1.1","8.5","3.4","-1.7","49.875"
"40",2015-02-09,"3406","1749","0","215","0","946.6","942.7","11.4","2","2.8","10.4","5.5","0.6","49"
"41",2015-02-10,"3498","1723","0","229","0","946","943","6.4","8","1.9","9","5.9","2.8","62.8333333333333"
"42",2015-02-11,"3484","1717","0","228","0","943.2","941.2","5.6","4","1.7","8.6","6.6","4.5","65.1666666666667"
"43",2015-02-12,"3586","1786","0","258","0","944.2","940.2","5.6","4","1.4","11.6","7.9","4.2","65.7083333333333"
"44",2015-02-13,"3502","1741","0","219","0","944.5","941.5","10","25","2.8","12.2","7.4","2.7","48.9583333333333"
"45",2015-02-14,"2470","1171","0","86","4.3","942.5","936.6","11.7","26","3.1","12.3","9.5","6.7","32.4583333333333"
"46",2015-02-15,"2112","1039","0","143","0","940.1","933.8","10.3","31","2.8","14.8","10.8","6.7","33.2083333333333"
"47",2015-02-16,"3462","1692","10","218","6.9","942.1","940.1","11.7","2","1.1","13.1","9.6","6","NA"
"48",2015-02-17,"3423","1731","0","231","0","952.5","941.6","18.3","2","4.7","11.8","8.1","4.4","24.5416666666667"
"49",2015-02-18,"3491","1755","0","248","0","952.9","950.3","12.2","7","3.1","10.8","7.2","3.7","35.125"
"50",2015-02-19,"3490","1761","0","253","0","952.9","948.8","5","13","1.1","12.6","7.6","2.6","65.9166666666667"
"51",2015-02-20,"3628","1749","0","224","3.4","948.8","936.1","6.1","23","0.8","11.3","6.7","2.1","65.4583333333333"
"52",2015-02-21,"2476","1201","5","85","0","936.1","930.9","12.5","1","2.2","13","9","5","48.7916666666667"
"53",2015-02-22,"2188","1078","0","158","0","939.4","934.5","9.7","28","2.5","13.8","8","2.2","51.9583333333333"
"54",2015-02-23,"3420","1713","0","225","0","941.7","935.8","13.3","32","4.2","13.7","10.2","6.6","31.7916666666667"
"55",2015-02-24,"3515","1755","0","229","0","950.4","941.7","13.6","29","3.9","11.5","7.8","4.2","31.0833333333333"
"56",2015-02-25,"3477","1771","0","246","0","950.4","947.6","13.6","33","3.6","14.3","9.2","4.1","36"
"57",2015-02-26,"3598","1794","20","264","0","948.4","943.7","9.4","30","2.2","13.4","10","6.6","49.8333333333333"
